away_goals,opponent,home_goals,home_or_away,opponent_goals,hungary_goals,outcome,date,match_type
1,Austria,4,H,1,4,W,1907-11-03,Friendly
3,Czech Republic,5,A,5,3,L,1907-10-06,Friendly
2,Czech Republic,5,H,2,5,W,1907-04-07,Friendly
3,Austria,5,H,3,5,W,1908-11-01,Friendly
7,England,0,H,7,0,L,1908-06-10,Friendly
0,Austria,4,A,4,0,L,1908-05-03,Friendly
2,Czech Republic,5,H,2,5,W,1908-04-05,Friendly
2,Austria,2,H,2,2,D,1909-11-07,Friendly
8,England,2,H,8,2,L,1909-05-31,Friendly
1,Austria,1,H,1,1,D,1909-05-30,Friendly
4,England,2,H,4,2,L,1909-05-29,Friendly
4,Austria,3,A,3,4,W,1909-05-02,Friendly
3,Germany,3,H,3,3,D,1909-04-04,Friendly
0,Austria,3,H,0,3,W,1910-11-06,Friendly
1,Italy,6,H,1,6,W,1910-05-26,Friendly
1,Austria,2,A,2,1,L,1910-05-01,Friendly
4,Germany,1,A,1,4,W,1911-12-17,Friendly
0,Austria,2,H,0,2,W,1911-11-05,Friendly
0,Switzerland,9,H,0,9,W,1911-10-29,Friendly
1,Austria,3,A,3,1,L,1911-05-07,Friendly
0,Switzerland,2,A,2,0,L,1911-01-08,Friendly
1,Italy,0,A,0,1,W,1911-01-06,Friendly
3,France,0,A,0,3,W,1911-01-01,Friendly
0,Austria,4,H,0,4,W,1912-11-03,Friendly
12,Russia,0,A,0,12,W,1912-07-14,Friendly
9,Russia,0,A,0,9,W,1912-07-12,Friendly
0,Austria,3,H,0,3,W,1912-07-05,Olympics
1,Germany,3,H,1,3,W,1912-07-03,Olympics
0,United Kingdom,7,A,7,0,L,1912-06-30,Olympics
6,Norway,0,A,0,6,W,1912-06-23,Friendly
2,Sweden,2,A,2,2,D,1912-06-20,Friendly
1,Austria,1,A,1,1,D,1912-05-05,Friendly
4,Germany,4,H,4,4,D,1912-04-14,Friendly
3,Austria,4,H,3,4,W,1913-10-26,Friendly
0,Sweden,2,H,0,2,W,1913-05-18,Friendly
4,Austria,1,A,1,4,W,1913-04-27,Friendly
2,Austria,1,A,1,2,W,1914-11-08,Friendly
2,Austria,2,H,2,2,D,1914-10-04,Friendly
1,Sweden,1,A,1,1,D,1914-06-21,Friendly
5,Sweden,1,A,1,5,W,1914-06-19,Friendly
1,France,5,H,1,5,W,1914-05-31,Friendly
0,Austria,2,A,2,0,L,1914-05-03,Friendly
2,Austria,6,H,2,6,W,1915-11-07,Friendly
2,Austria,4,A,4,2,L,1915-10-03,Friendly
2,Austria,1,A,1,2,W,1915-05-30,Friendly
3,Austria,3,A,3,3,D,1916-11-05,Friendly
3,Austria,2,H,3,2,L,1916-10-01,Friendly
1,Austria,2,H,1,2,W,1916-06-04,Friendly
1,Austria,3,A,3,1,L,1916-05-07,Friendly
2,Austria,1,A,1,2,W,1917-11-04,Friendly
1,Austria,2,H,1,2,W,1917-10-07,Friendly
4,Austria,1,A,1,4,W,1917-07-15,Friendly
2,Austria,6,H,2,6,W,1917-06-03,Friendly
1,Austria,1,A,1,1,D,1917-05-06,Friendly
3,Austria,0,A,0,3,W,1918-10-06,Friendly
2,Austria,0,A,0,2,W,1918-06-02,Friendly
1,Switzerland,2,H,1,2,W,1918-05-12,Friendly
0,Austria,2,H,0,2,W,1918-04-14,Friendly
2,Austria,3,H,2,3,W,1919-11-09,Friendly
0,Austria,2,A,2,0,L,1919-10-05,Friendly
1,Austria,2,H,1,2,W,1919-04-06,Friendly
2,Austria,1,H,2,1,L,1920-11-07,Friendly
0,Germany,1,A,1,0,L,1920-10-24,Friendly
