contestant_1,contestant_1_score,contestant_2,contestant_2_score,contestant_3,contestant_3_score,contestant_4,contestant_4_score,contestant_5,contestant_5_score,date,raw_scores,series,title,alan_score,did_alan_win
Danny Baker,18.0,Hugh Laurie,11.0,John Sessions,10.0,Alan Davies,-5.0,N/A,,2003-09-11,,a,1. Adam,-5.0,0
Rich Hall,20.0,Bill Bailey,5.0,Alan Davies,-30.0,Jeremy Hardy,20.0,N/A,,2003-09-18,,a,2. Astronomy,-30.0,0
Clive Anderson,26.0,Meera Syal,19.0,Bill Bailey,10.0,Alan Davies,-20.0,N/A,,2003-09-25,,a,3. Aquatic Animals,-20.0,0
Jo Brand,36.0,Howard Goodall,13.0,Jeremy Hardy,7.0,Alan Davies,-24.0,N/A,,2003-10-02,,a,4. Atoms,-24.0,0
Gyles Brandreth,54.0,Rich Hall,35.0,Rob Brydon,17.0,Alan Davies,15.0,N/A,,2003-10-09,,a,5. Advertising,15.0,0
Danny Baker,19.0,Howard Goodall,17.0,Jo Brand,13.0,Alan Davies,8.0,N/A,,2003-10-16,,a,6. Antidotes,8.0,0
Jackie Clune,5.0,Alan Davies,0.0,Jimmy Carr,-1.0,Jo Brand,-38.0,N/A,,2003-10-23,,a,7. Arthropods,0.0,0
Clive Anderson,37.0,Linda Smith,30.0,Sean Lock,25.0,Alan Davies,-30.0,N/A,,2003-10-30,,a,8. Albania,-30.0,0
Dave Gorman,20.0,Jo Brand,15.0,Alan Davies,10.0,Jeremy Hardy,15.0,N/A,,2003-11-06,,a,9. Antelopes,10.0,0
Alan Davies,23.0,Julia Morris,9.0,Rich Hall,3.0,Peter Serafinowicz,-5.0,N/A,,2003-11-13,,a,10. Aviation,23.0,1
Richard E. Grant,12.0,Linda Smith,5.0,Bill Bailey,-2.0,Alan Davies,-18.0,N/A,,2003-11-20,,a,11. Arts,-18.0,0
John Sessions,28.0,Sean Lock,7.0,Phill Jupitus,5.0,Alan Davies,-6.0,N/A,,2003-12-23,,a,Christmas Special: Advent,-6.0,0
Sean Lock,17.0,Bill Bailey,7.0,Jo Brand,-20.0,Alan Davies,-22.0,N/A,,2004-10-08,,b,1. Blue,-22.0,0
Rich Hall,3.0,Phil Kay,1.0,Jo Brand,-8.0,Alan Davies,-40.0,N/A,,2004-10-08,,b,2. Birds,-40.0,0
Phill Jupitus,4.0,Rich Hall,2.0,Clive Anderson,1.0,Alan Davies,-4.0,N/A,,2004-10-15,,b,3. Bombs,-4.0,0
Jeremy Clarkson,5.0,Jeremy Hardy,3.0,Alan Davies,-6.0,Barry Cryer,-6.0,N/A,,2004-10-22,,b,4. Bible,-6.0,0
Jimmy Carr,15.0,Bill Bailey,8.0,Jo Brand,-5.0,Alan Davies,-35.0,N/A,,2004-10-29,,b,5. Bears,-35.0,0
Anneka Rice,7.0,Bill Bailey,6.0,Alan Davies,-18.0,Sean Lock,-18.0,N/A,,2004-11-05,,b,6. Beavers,-18.0,0
Dara O'Briain,4.0,Rich Hall,2.0,Arthur Smith,-18.0,Alan Davies,-20.0,N/A,,2004-11-12,,b,7. Biscuits,-20.0,0
Rich Hall,5.0,Fred MacAulay,4.0,Jo Brand,-8.0,Alan Davies,-19.0,N/A,,2004-11-19,,b,8. Bees,-19.0,0
Rich Hall,4.0,John Sessions,-14.0,Alan Davies,-72.0,Josie Lawrence,4.0,N/A,,2004-11-26,,b,9. Bats,-72.0,0
Clive Anderson,1.0,Phil Kay,0.0,John Sessions,-10.0,Alan Davies,-26.0,N/A,,2004-12-03,,b,10. Bills,-26.0,0
